UserID,UserName,Password,Active,DateCreated,Email
1,Frankie,password123,1,"2019-09-21 12:53:18",Frankie@email.com
2,Squishy,password123,1,"2019-09-21 12:53:40",Squishy@email.com
3,Rizzo,password123,1,"2019-09-21 12:53:55",Rizzo@email.com
4,QuickyBaby,password123,1,"2019-09-21 12:54:19",QB@email.com
5,Kronovi,password123,1,"2019-09-21 12:54:38",Kronovi@email.com
6,Justn,password123,1,"2019-09-21 12:54:46",Justn@email.com
7,Chicago,password123,1,"2019-09-21 12:54:58",Chicago@email.com
8,AyyJayy,password123,1,"2019-09-21 12:55:13",AyyJayy@email.com
9,Gimmick,password123,1,"2019-09-21 12:55:42",Gimmick@email.com
10,Torment,password123,1,"2019-09-21 12:55:54",Torment@email.com
11,GarretG,password123,1,"2019-09-21 12:56:15",GarretG@email.com
12,Turbopulsa,password123,1,"2019-09-21 12:56:32",Turbopulsa@email.com
13,ViolentPanda,password123,1,"2019-09-21 12:57:02",ViolentPanda@email.com
14,Atomic,password123,1,"2019-09-21 12:57:43",Atomic@email.com
